Setup title,"2n7000 Fall 2019 Id-Vd"
Application test name,Id-Vd[3]
Test date,11/14/2019
Test time,18:29:53
Device ID,
Count,1
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU4:MP	MPSMU","SMU5:MP	MPSMU","SMU3:MP	MPSMU",2,3.2,0.15,0,0,4,0.05,0.001,SHORT,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1.5E-06,4.65E-05,25,0.1
Vdrain,Idrain,Vgate,Vsource,IdrainPerWg
0,1.3772E-07,2,0,2.96172043010753E-09
0.05,0.00022714,2,0,4.8847311827957E-06
0.1,0.00030763,2,0,6.61569892473118E-06
0.15,0.00034526,2,0,7.42494623655914E-06
0.2,0.00036955,2,0,7.94731182795699E-06
0.25,0.00038856,2,0,8.35612903225806E-06
0.3,0.00040426,2,0,8.69376344086021E-06
0.35,0.00041773,2,0,8.98344086021505E-06
0.4,0.00042976,2,0,9.24215053763441E-06
0.45,0.00044056,2,0,9.47440860215054E-06
0.5,0.00045029,2,0,9.68365591397849E-06
0.55,0.00045946,2,0,9.88086021505376E-06
0.6,0.0004678,2,0,1.00602150537634E-05
0.65,0.00047572,2,0,1.02305376344086E-05
0.7,0.00048333,2,0,1.03941935483871E-05
0.75,0.00049025,2,0,1.05430107526882E-05
0.8,0.00049719,2,0,1.06922580645161E-05
0.85,0.00050366,2,0,1.08313978494624E-05
0.9,0.00050986,2,0,1.09647311827957E-05
0.95,0.00051582,2,0,1.10929032258065E-05
1,0.00052147,2,0,1.12144086021505E-05
1.05,0.00052719,2,0,1.13374193548387E-05
1.1,0.00053272,2,0,1.14563440860215E-05
1.15,0.00053784,2,0,1.15664516129032E-05
1.2,0.00054302,2,0,1.16778494623656E-05
1.25,0.00054809,2,0,1.17868817204301E-05
1.3,0.00055299,2,0,1.18922580645161E-05
1.35,0.00055771,2,0,1.19937634408602E-05
1.4,0.0005622,2,0,1.20903225806452E-05
1.45,0.00056695,2,0,1.21924731182796E-05
1.5,0.00057148,2,0,1.22898924731183E-05
1.55,0.00057579,2,0,1.23825806451613E-05
1.6,0.00057994,2,0,1.24718279569892E-05
1.65,0.00058435,2,0,1.25666666666667E-05
1.7,0.00058839,2,0,1.26535483870968E-05
1.75,0.00059234,2,0,1.27384946236559E-05
1.8,0.00059632,2,0,1.28240860215054E-05
1.85,0.00060038,2,0,1.29113978494624E-05
1.9,0.00060417,2,0,1.29929032258064E-05
1.95,0.00060796,2,0,1.30744086021505E-05
2,0.00061165,2,0,1.31537634408602E-05
2.05,0.00061541,2,0,1.3234623655914E-05
2.1,0.00061894,2,0,1.33105376344086E-05
2.15,0.00062247,2,0,1.33864516129032E-05
2.2,0.00062597,2,0,1.34617204301075E-05
2.25,0.00062953,2,0,1.35382795698925E-05
2.3,0.00063299,2,0,1.3612688172043E-05
2.35,0.00063643,2,0,1.36866666666667E-05
2.4,0.00063988,2,0,1.37608602150538E-05
2.45,0.00064336,2,0,1.38356989247312E-05
2.5,0.00064642,2,0,1.39015053763441E-05
2.55,0.00064962,2,0,1.39703225806452E-05
2.6,0.00065317,2,0,1.40466666666667E-05
2.65,0.00065649,2,0,1.4118064516129E-05
2.7,0.00065954,2,0,1.41836559139785E-05
2.75,0.00066259,2,0,1.4249247311828E-05
2.8,0.00066606,2,0,1.43238709677419E-05
2.85,0.00066936,2,0,1.43948387096774E-05
2.9,0.00067251,2,0,1.44625806451613E-05
2.95,0.00067552,2,0,1.4527311827957E-05
3,0.00067869,2,0,1.45954838709677E-05
3.05,0.00068192,2,0,1.46649462365591E-05
3.1,0.00068505,2,0,1.47322580645161E-05
3.15,0.00068823,2,0,1.48006451612903E-05
3.2,0.00069136,2,0,1.48679569892473E-05
3.25,0.00069451,2,0,1.49356989247312E-05
3.3,0.00069767,2,0,1.50036559139785E-05
3.35,0.00070094,2,0,1.50739784946237E-05
3.4,0.00070395,2,0,1.51387096774194E-05
3.45,0.0007071,2,0,1.52064516129032E-05
3.5,0.00071018,2,0,1.5272688172043E-05
3.55,0.00071341,2,0,1.53421505376344E-05
3.6,0.00071657,2,0,1.54101075268817E-05
3.65,0.00071961,2,0,1.54754838709677E-05
