Setup title,2n7000 Fall 2019 Id-Vd,,,,,,,,,,,,,,
Application test name,Id-Vd[3],,,,,,,,,,,,,,
Test date,11/14/2019,,,,,,,,,,,,,,
Test time,18:29:53,,,,,,,,,,,,,,
Device ID,,,,,,,,,,,,,,,
Count,1,,,,,,,,,,,,,,
Flags,,,,,,,,,,,,,,,
Remarks,,,,,,,,,,,,,,,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU4:MP	MPSMU","SMU5:MP	MPSMU","SMU3:MP	MPSMU",2,3.2,0.15,0,0,4,0.05,0.001,SHORT,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,,,,,,,,,,
Value,1,1.50E-06,4.65E-05,25,0.1,,,,,,,,,,
Vdrain1,Idrain,Vgate,Vsource,IdrainPerWg,,,,,,,,,,,
0,1.38E-07,2,0,2.96E-09,,,,,,,,,,,
0.05,0.00022714,2,0,4.88E-06,,,,,,,,,,,
0.1,0.00030763,2,0,6.62E-06,,,,,,,,,,,
0.15,0.00034526,2,0,7.42E-06,,,,,,,,,,,
0.2,0.00036955,2,0,7.95E-06,,,,,,,,,,,
0.25,0.00038856,2,0,8.36E-06,,,,,,,,,,,
0.3,0.00040426,2,0,8.69E-06,,,,,,,,,,,
0.35,0.00041773,2,0,8.98E-06,,,,,,,,,,,
0.4,0.00042976,2,0,9.24E-06,,,,,,,,,,,
0.45,0.00044056,2,0,9.47E-06,,,,,,,,,,,
0.5,0.00045029,2,0,9.68E-06,,,,,,,,,,,
0.55,0.00045946,2,0,9.88E-06,,,,,,,,,,,
0.6,0.0004678,2,0,1.01E-05,,,,,,,,,,,
0.65,0.00047572,2,0,1.02E-05,,,,,,,,,,,
0.7,0.00048333,2,0,1.04E-05,,,,,,,,,,,
0.75,0.00049025,2,0,1.05E-05,,,,,,,,,,,
0.8,0.00049719,2,0,1.07E-05,,,,,,,,,,,
0.85,0.00050366,2,0,1.08E-05,,,,,,,,,,,
0.9,0.00050986,2,0,1.10E-05,,,,,,,,,,,
0.95,0.00051582,2,0,1.11E-05,,,,,,,,,,,
1,0.00052147,2,0,1.12E-05,,,,,,,,,,,
1.05,0.00052719,2,0,1.13E-05,,,,,,,,,,,
1.1,0.00053272,2,0,1.15E-05,,,,,,,,,,,
1.15,0.00053784,2,0,1.16E-05,,,,,,,,,,,
1.2,0.00054302,2,0,1.17E-05,,,,,,,,,,,
1.25,0.00054809,2,0,1.18E-05,,,,,,,,,,,
1.3,0.00055299,2,0,1.19E-05,,,,,,,,,,,
1.35,0.00055771,2,0,1.20E-05,,,,,,,,,,,
1.4,0.0005622,2,0,1.21E-05,,,,,,,,,,,
1.45,0.00056695,2,0,1.22E-05,,,,,,,,,,,
1.5,0.00057148,2,0,1.23E-05,,,,,,,,,,,
1.55,0.00057579,2,0,1.24E-05,,,,,,,,,,,
1.6,0.00057994,2,0,1.25E-05,,,,,,,,,,,
1.65,0.00058435,2,0,1.26E-05,,,,,,,,,,,
1.7,0.00058839,2,0,1.27E-05,,,,,,,,,,,
1.75,0.00059234,2,0,1.27E-05,,,,,,,,,,,
1.8,0.00059632,2,0,1.28E-05,,,,,,,,,,,
1.85,0.00060038,2,0,1.29E-05,,,,,,,,,,,
1.9,0.00060417,2,0,1.30E-05,,,,,,,,,,,
1.95,0.00060796,2,0,1.31E-05,,,,,,,,,,,
2,0.00061165,2,0,1.32E-05,,,,,,,,,,,
2.05,0.00061541,2,0,1.32E-05,,,,,,,,,,,
2.1,0.00061894,2,0,1.33E-05,,,,,,,,,,,
2.15,0.00062247,2,0,1.34E-05,,,,,,,,,,,
2.2,0.00062597,2,0,1.35E-05,,,,,,,,,,,
2.25,0.00062953,2,0,1.35E-05,,,,,,,,,,,
2.3,0.00063299,2,0,1.36E-05,,,,,,,,,,,
2.35,0.00063643,2,0,1.37E-05,,,,,,,,,,,
2.4,0.00063988,2,0,1.38E-05,,,,,,,,,,,
2.45,0.00064336,2,0,1.38E-05,,,,,,,,,,,
2.5,0.00064642,2,0,1.39E-05,,,,,,,,,,,
2.55,0.00064962,2,0,1.40E-05,,,,,,,,,,,
2.6,0.00065317,2,0,1.40E-05,,,,,,,,,,,
2.65,0.00065649,2,0,1.41E-05,,,,,,,,,,,
2.7,0.00065954,2,0,1.42E-05,,,,,,,,,,,
2.75,0.00066259,2,0,1.42E-05,,,,,,,,,,,
2.8,0.00066606,2,0,1.43E-05,,,,,,,,,,,
2.85,0.00066936,2,0,1.44E-05,,,,,,,,,,,
2.9,0.00067251,2,0,1.45E-05,,,,,,,,,,,
2.95,0.00067552,2,0,1.45E-05,,,,,,,,,,,
3,0.00067869,2,0,1.46E-05,,,,,,,,,,,
3.05,0.00068192,2,0,1.47E-05,,,,,,,,,,,
3.1,0.00068505,2,0,1.47E-05,,,,,,,,,,,
3.15,0.00068823,2,0,1.48E-05,,,,,,,,,,,
3.2,0.00069136,2,0,1.49E-05,,,,,,,,,,,
3.25,0.00069451,2,0,1.49E-05,,,,,,,,,,,
3.3,0.00069767,2,0,1.50E-05,,,,,,,,,,,
3.35,0.00070094,2,0,1.51E-05,,,,,,,,,,,
3.4,0.00070395,2,0,1.51E-05,,,,,,,,,,,
3.45,0.0007071,2,0,1.52E-05,,,,,,,,,,,
3.5,0.00071018,2,0,1.53E-05,,,,,,,,,,,
3.55,0.00071341,2,0,1.53E-05,,,,,,,,,,,
3.6,0.00071657,2,0,1.54E-05,,,,,,,,,,,
3.65,0.00071961,2,0,1.55E-05,,,,,,,,,,,
3.7,0.00072272,2,0,1.55E-05,,,,,,,,,,,
3.75,0.00072587,2,0,1.56E-05,,,,,,,,,,,
3.8,0.00072907,2,0,1.57E-05,,,,,,,,,,,
3.85,0.0007322,2,0,1.57E-05,,,,,,,,,,,
3.9,0.00073516,2,0,1.58E-05,,,,,,,,,,,
3.95,0.00073835,2,0,1.59E-05,,,,,,,,,,,
4,0.00074159,2,0,1.59E-05,,,,,,,,,,,
0,1.51E-06,2.15,0,3.24E-08,,,,,,,,,,,
0.05,0.00078939,2.15,0,1.70E-05,,,,,,,,,,,
0.1,0.0011529,2.15,0,2.48E-05,,,,,,,,,,,
0.15,0.0013371,2.15,0,2.88E-05,,,,,,,,,,,
0.2,0.0014512,2.15,0,3.12E-05,,,,,,,,,,,
0.25,0.0015343,2.15,0,3.30E-05,,,,,,,,,,,
0.3,0.0015998,2.15,0,3.44E-05,,,,,,,,,,,
0.35,0.0016536,2.15,0,3.56E-05,,,,,,,,,,,
0.4,0.0017007,2.15,0,3.66E-05,,,,,,,,,,,
0.45,0.0017421,2.15,0,3.75E-05,,,,,,,,,,,
0.5,0.0017781,2.15,0,3.82E-05,,,,,,,,,,,
0.55,0.0018112,2.15,0,3.90E-05,,,,,,,,,,,
0.6,0.0018417,2.15,0,3.96E-05,,,,,,,,,,,
0.65,0.00187,2.15,0,4.02E-05,,,,,,,,,,,
0.7,0.0018961,2.15,0,4.08E-05,,,,,,,,,,,
0.75,0.0019207,2.15,0,4.13E-05,,,,,,,,,,,
0.8,0.0019444,2.15,0,4.18E-05,,,,,,,,,,,
0.85,0.0019667,2.15,0,4.23E-05,,,,,,,,,,,
0.9,0.0019877,2.15,0,4.27E-05,,,,,,,,,,,
0.95,0.0020078,2.15,0,4.32E-05,,,,,,,,,,,
1,0.0020274,2.15,0,4.36E-05,,,,,,,,,,,
1.05,0.0020461,2.15,0,4.40E-05,,,,,,,,,,,
1.1,0.0020641,2.15,0,4.44E-05,,,,,,,,,,,
1.15,0.0020816,2.15,0,4.48E-05,,,,,,,,,,,
1.2,0.0020985,2.15,0,4.51E-05,,,,,,,,,,,
1.25,0.0021148,2.15,0,4.55E-05,,,,,,,,,,,
1.3,0.0021307,2.15,0,4.58E-05,,,,,,,,,,,
1.35,0.002146,2.15,0,4.62E-05,,,,,,,,,,,
1.4,0.0021612,2.15,0,4.65E-05,,,,,,,,,,,
1.45,0.0021758,2.15,0,4.68E-05,,,,,,,,,,,
1.5,0.0021901,2.15,0,4.71E-05,,,,,,,,,,,
1.55,0.0022043,2.15,0,4.74E-05,,,,,,,,,,,
1.6,0.0022182,2.15,0,4.77E-05,,,,,,,,,,,
1.65,0.0022313,2.15,0,4.80E-05,,,,,,,,,,,
1.7,0.0022448,2.15,0,4.83E-05,,,,,,,,,,,
1.75,0.0022575,2.15,0,4.85E-05,,,,,,,,,,,
1.8,0.0022701,2.15,0,4.88E-05,,,,,,,,,,,
1.85,0.0022826,2.15,0,4.91E-05,,,,,,,,,,,
1.9,0.0022943,2.15,0,4.93E-05,,,,,,,,,,,
1.95,0.0023066,2.15,0,4.96E-05,,,,,,,,,,,
2,0.0023184,2.15,0,4.99E-05,,,,,,,,,,,
2.05,0.0023296,2.15,0,5.01E-05,,,,,,,,,,,
2.1,0.0023404,2.15,0,5.03E-05,,,,,,,,,,,
2.15,0.002352,2.15,0,5.06E-05,,,,,,,,,,,
2.2,0.0023629,2.15,0,5.08E-05,,,,,,,,,,,
2.25,0.0023735,2.15,0,5.10E-05,,,,,,,,,,,
2.3,0.0023846,2.15,0,5.13E-05,,,,,,,,,,,
2.35,0.0023949,2.15,0,5.15E-05,,,,,,,,,,,
2.4,0.0024056,2.15,0,5.17E-05,,,,,,,,,,,
2.45,0.0024155,2.15,0,5.19E-05,,,,,,,,,,,
2.5,0.0024254,2.15,0,5.22E-05,,,,,,,,,,,
2.55,0.0024356,2.15,0,5.24E-05,,,,,,,,,,,
2.6,0.0024455,2.15,0,5.26E-05,,,,,,,,,,,
2.65,0.0024555,2.15,0,5.28E-05,,,,,,,,,,,
2.7,0.0024648,2.15,0,5.30E-05,,,,,,,,,,,
2.75,0.0024744,2.15,0,5.32E-05,,,,,,,,,,,
2.8,0.002484,2.15,0,5.34E-05,,,,,,,,,,,
2.85,0.0024939,2.15,0,5.36E-05,,,,,,,,,,,
2.9,0.002503,2.15,0,5.38E-05,,,,,,,,,,,
2.95,0.0025127,2.15,0,5.40E-05,,,,,,,,,,,
3,0.0025221,2.15,0,5.42E-05,,,,,,,,,,,
3.05,0.0025314,2.15,0,5.44E-05,,,,,,,,,,,
3.1,0.0025407,2.15,0,5.46E-05,,,,,,,,,,,
3.15,0.0025502,2.15,0,5.48E-05,,,,,,,,,,,
3.2,0.0025597,2.15,0,5.50E-05,,,,,,,,,,,
3.25,0.0025686,2.15,0,5.52E-05,,,,,,,,,,,
3.3,0.0025778,2.15,0,5.54E-05,,,,,,,,,,,
3.35,0.0025869,2.15,0,5.56E-05,,,,,,,,,,,
3.4,0.0025964,2.15,0,5.58E-05,,,,,,,,,,,
3.45,0.0026051,2.15,0,5.60E-05,,,,,,,,,,,
3.5,0.0026141,2.15,0,5.62E-05,,,,,,,,,,,
3.55,0.0026231,2.15,0,5.64E-05,,,,,,,,,,,
3.6,0.0026325,2.15,0,5.66E-05,,,,,,,,,,,
3.65,0.0026415,2.15,0,5.68E-05,,,,,,,,,,,
3.7,0.00265,2.15,0,5.70E-05,,,,,,,,,,,
3.75,0.0026594,2.15,0,5.72E-05,,,,,,,,,,,
