Setup title,"2n7000 Fall 2019 Id-Vg"
Application test name,Id-Vg[3]
Test date,11/14/2019
Test time,18:34:08
Device ID,
Count,1
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU4:MP	MPSMU","SMU5:MP	MPSMU","SMU3:MP	MPSMU",0,4,0.05,0,0.25,2.5,0.25,0.001,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1.5E-06,4.65E-05,25,0.1
Vgate,Idrain,Vsource,Vdrain,gm,IdrainPerWg,gmPerWg
0,-5.42E-13,0,0.25,1.316E-11,-1.16559139784946E-14,2.83010752688172E-13
0.05,1.16E-13,0,0.25,1.03E-12,2.49462365591398E-15,2.21505376344086E-14
0.1,-4.39E-13,0,0.25,2.06E-12,-9.44086021505376E-15,4.43010752688172E-14
0.15,3.22E-13,0,0.25,2.1E-12,6.9247311827957E-15,4.51612903225806E-14
0.2,-2.29E-13,0,0.25,7.14E-12,-4.9247311827957E-15,1.53548387096774E-13
0.25,1.036E-12,0,0.25,-5.4E-13,2.22795698924731E-14,-1.16129032258064E-14
0.3,-2.83E-13,0,0.25,-2.52E-12,-6.08602150537634E-15,-5.41935483870967E-14
0.35,7.84E-13,0,0.25,5.34E-12,1.68602150537634E-14,1.14838709677419E-13
0.4,2.51E-13,0,0.25,6.47E-12,5.39784946236559E-15,1.39139784946237E-13
0.45,1.431E-12,0,0.25,1.257E-11,3.07741935483871E-14,2.70322580645161E-13
0.5,1.508E-12,0,0.25,2.221E-11,3.24301075268817E-14,4.7763440860215E-13
0.55,3.652E-12,0,0.25,3.822E-11,7.85376344086022E-14,8.21935483870968E-13
0.6,5.33E-12,0,0.25,6.597E-11,1.14623655913978E-13,1.41870967741936E-12
0.65,1.0249E-11,0,0.25,1.1888E-10,2.20408602150538E-13,2.55655913978494E-12
0.7,1.7218E-11,0,0.25,2.1853E-10,3.70279569892473E-13,4.69956989247312E-12
0.75,3.2102E-11,0,0.25,4.0559E-10,6.90365591397849E-13,8.72236559139785E-12
0.8,5.7777E-11,0,0.25,7.418E-10,1.24251612903226E-12,1.5952688172043E-11
0.85,1.06282E-10,0,0.25,1.38913E-09,2.28563440860215E-12,2.98737634408602E-11
